id,name,brand,product_type,price,quantity,description,battery_life,features,connectivity,movement_type,power_reserve,water_resistant
159,Longines Heritage 348 Model,Longines,electronic,7694947,63,Mẫu Longines Heritage 348 Model của Longines - thiết kế hiện đại.,3.0,step_counter;music_control;heart_rate;waterproof;sleep_tracking,gps,,,
160,Hamilton Pilot 301 Lite,Hamilton,electronic,1987670,41,Mẫu Hamilton Pilot 301 Lite của Hamilton - thiết kế hiện đại.,7.0,step_counter;waterproof;notifications,gps,,,
161,Longines Urban 458 Edition,Longines,mechanical,11038809,45,Mẫu Longines Urban 458 Edition của Longines - thiết kế cổ điển.,,,,manual,42.0,0.0
162,Casio Sport 688 X,Casio,electronic,5768011,95,Mẫu Casio Sport 688 X của Casio - thiết kế hiện đại.,7.0,heart_rate;gps,gps,,,
163,Citizen Elite 798 Lite,Citizen,mechanical,5751183,72,Mẫu Citizen Elite 798 Lite của Citizen - thiết kế cổ điển.,,,,automatic,60.0,1.0
164,Swatch Urban 455 Series,Swatch,electronic,8821866,67,Mẫu Swatch Urban 455 Series của Swatch - thiết kế hiện đại.,3.0,sleep_tracking;notifications;nfc;gps,bluetooth,,,
165,Hamilton Apex 531 X,Hamilton,mechanical,13746366,15,Mẫu Hamilton Apex 531 X của Hamilton - thiết kế cổ điển.,,,,manual,80.0,0.0
166,Fossil Voyager 293 S,Fossil,electronic,3402586,17,Mẫu Fossil Voyager 293 S của Fossil - thiết kế hiện đại.,10.0,notifications,wifi,,,
167,Longines Sport 830 Lite,Longines,electronic,10183677,90,Mẫu Longines Sport 830 Lite của Longines - thiết kế hiện đại.,1.0,step_counter;nfc;gps;sleep_tracking;music_control,wifi,,,
168,Fossil Master 243 S,Fossil,mechanical,881118,70,Mẫu Fossil Master 243 S của Fossil - thiết kế cổ điển.,,,,manual,48.0,0.0
169,Citizen Sport 317 X,Citizen,mechanical,14994128,92,Mẫu Citizen Sport 317 X của Citizen - thiết kế cổ điển.,,,,manual,60.0,0.0
170,Movado Sport 129 Lite,Movado,electronic,9813910,57,Mẫu Movado Sport 129 Lite của Movado - thiết kế hiện đại.,4.0,sleep_tracking;gps;step_counter;notifications;music_control,wifi,,,
171,Casio Sport 531 Model,Casio,mechanical,4909806,20,Mẫu Casio Sport 531 Model của Casio - thiết kế cổ điển.,,,,manual,72.0,1.0
172,Invicta Prime 867 Series,Invicta,mechanical,4133777,81,Mẫu Invicta Prime 867 Series của Invicta - thiết kế cổ điển.,,,,manual,40.0,0.0
173,Skagen Sport 515 Model,Skagen,mechanical,9081222,74,Mẫu Skagen Sport 515 Model của Skagen - thiết kế cổ điển.,,,,automatic,40.0,0.0
174,Citizen Eco-Drive Urban 863 One,Citizen Eco-Drive,electronic,1097317,3,Mẫu Citizen Eco-Drive Urban 863 One của Citizen Eco-Drive - thiết kế hiện đại.,1.0,step_counter,wifi,,,
175,Patek Philippe Voyager 655 Edition,Patek Philippe,electronic,7721552,80,Mẫu Patek Philippe Voyager 655 Edition của Patek Philippe - thiết kế hiện đại.,5.0,step_counter;waterproof;gps,gps,,,
176,Citizen Classic 162 S,Citizen,mechanical,6526515,59,Mẫu Citizen Classic 162 S của Citizen - thiết kế cổ điển.,,,,automatic,42.0,0.0
177,Tag Heuer Urban 999 X,Tag Heuer,mechanical,2396109,47,Mẫu Tag Heuer Urban 999 X của Tag Heuer - thiết kế cổ điển.,,,,automatic,42.0,1.0
178,Rolex Apex 254 Model,Rolex,electronic,1903769,37,Mẫu Rolex Apex 254 Model của Rolex - thiết kế hiện đại.,4.0,music_control;gps;notifications;nfc;step_counter,wifi,,,
179,Bulova Pilot 479 S,Bulova,electronic,13246597,63,Mẫu Bulova Pilot 479 S của Bulova - thiết kế hiện đại.,1.0,music_control,gps,,,
180,Fossil Voyager 362 Edition,Fossil,electronic,1232836,63,Mẫu Fossil Voyager 362 Edition của Fossil - thiết kế hiện đại.,5.0,step_counter;notifications;heart_rate;sleep_tracking,gps,,,
181,Rolex Urban 783 X,Rolex,mechanical,5806092,51,Mẫu Rolex Urban 783 X của Rolex - thiết kế cổ điển.,,,,automatic,60.0,0.0
182,Skagen Prime 76 X,Skagen,mechanical,7811705,97,Mẫu Skagen Prime 76 X của Skagen - thiết kế cổ điển.,,,,manual,80.0,0.0
183,Orient Master 999 Series,Orient,electronic,6211604,43,Mẫu Orient Master 999 Series của Orient - thiết kế hiện đại.,5.0,nfc;gps;step_counter,gps,,,
184,Casio Classic 141 Lite,Casio,electronic,12157505,66,Mẫu Casio Classic 141 Lite của Casio - thiết kế hiện đại.,4.0,nfc;notifications,none,,,
185,Citizen Eco-Drive Prime 608 Lite,Citizen Eco-Drive,mechanical,7856067,65,Mẫu Citizen Eco-Drive Prime 608 Lite của Citizen Eco-Drive - thiết kế cổ điển.,,,,manual,72.0,0.0
186,Seiko Urban 340 Series,Seiko,mechanical,14708521,74,Mẫu Seiko Urban 340 Series của Seiko - thiết kế cổ điển.,,,,manual,80.0,0.0
187,Seiko Voyager 486 Pro,Seiko,electronic,14522525,100,Mẫu Seiko Voyager 486 Pro của Seiko - thiết kế hiện đại.,10.0,waterproof;sleep_tracking;heart_rate;step_counter;notifications,wifi,,,
188,Citizen Eco-Drive Heritage 152 Line,Citizen Eco-Drive,electronic,957772,89,Mẫu Citizen Eco-Drive Heritage 152 Line của Citizen Eco-Drive - thiết kế hiện đại.,1.0,heart_rate;waterproof,none,,,
189,Patek Philippe Elite 421 Z,Patek Philippe,mechanical,11737098,60,Mẫu Patek Philippe Elite 421 Z của Patek Philippe - thiết kế cổ điển.,,,,automatic,72.0,1.0
190,Skagen Urban 679 S,Skagen,electronic,8119419,40,Mẫu Skagen Urban 679 S của Skagen - thiết kế hiện đại.,2.0,sleep_tracking;step_counter;nfc;notifications,gps,,,
191,Timex Prime 572 Pro,Timex,mechanical,3760572,38,Mẫu Timex Prime 572 Pro của Timex - thiết kế cổ điển.,,,,manual,72.0,1.0
192,Bulova Urban 492 Lite,Bulova,electronic,8627070,92,Mẫu Bulova Urban 492 Lite của Bulova - thiết kế hiện đại.,3.0,gps;step_counter;sleep_tracking,gps,,,
193,Hublot Urban 978 Model,Hublot,electronic,4711563,36,Mẫu Hublot Urban 978 Model của Hublot - thiết kế hiện đại.,7.0,sleep_tracking,gps,,,
194,Bulova Elite 207 Z,Bulova,electronic,4431424,71,Mẫu Bulova Elite 207 Z của Bulova - thiết kế hiện đại.,7.0,nfc;heart_rate;step_counter,wifi,,,
195,Invicta Elite 654 Line,Invicta,mechanical,1261121,52,Mẫu Invicta Elite 654 Line của Invicta - thiết kế cổ điển.,,,,manual,72.0,0.0
196,Tissot Classic 988 Z,Tissot,mechanical,14679705,20,Mẫu Tissot Classic 988 Z của Tissot - thiết kế cổ điển.,,,,manual,72.0,0.0
197,Fossil Prime 329 Pro,Fossil,electronic,9865520,98,Mẫu Fossil Prime 329 Pro của Fossil - thiết kế hiện đại.,1.0,waterproof;step_counter;sleep_tracking;heart_rate;gps,gps,,,
198,Hamilton Classic 857 X,Hamilton,electronic,11925429,23,Mẫu Hamilton Classic 857 X của Hamilton - thiết kế hiện đại.,7.0,heart_rate;notifications;nfc,bluetooth,,,
199,Tag Heuer Prime 466 Z,Tag Heuer,electronic,8102619,17,Mẫu Tag Heuer Prime 466 Z của Tag Heuer - thiết kế hiện đại.,10.0,notifications;nfc;gps;heart_rate;music_control,wifi,,,
200,Rolex Master 15 Lite,Rolex,electronic,11966131,72,Mẫu Rolex Master 15 Lite của Rolex - thiết kế hiện đại.,7.0,nfc;step_counter,gps,,,
201,Invicta Urban 89 X,Invicta,electronic,10204210,23,Mẫu Invicta Urban 89 X của Invicta - thiết kế hiện đại.,2.0,sleep_tracking;gps;heart_rate;nfc,gps,,,
202,Rolex Urban 310 One,Rolex,mechanical,10981797,1,Mẫu Rolex Urban 310 One của Rolex - thiết kế cổ điển.,,,,manual,72.0,0.0
203,Casio Sport 477 Pro,Casio,electronic,2815894,87,Mẫu Casio Sport 477 Pro của Casio - thiết kế hiện đại.,5.0,gps;sleep_tracking;nfc,none,,,
204,Timex Master 490 Model,Timex,electronic,7097191,77,Mẫu Timex Master 490 Model của Timex - thiết kế hiện đại.,3.0,notifications;music_control;step_counter;gps,wifi,,,
205,Citizen Eco-Drive Sport 539 S,Citizen Eco-Drive,electronic,8158510,46,Mẫu Citizen Eco-Drive Sport 539 S của Citizen Eco-Drive - thiết kế hiện đại.,1.0,gps;heart_rate;step_counter;sleep_tracking;notifications,wifi,,,
206,Invicta Apex 120 Line,Invicta,mechanical,10895311,62,Mẫu Invicta Apex 120 Line của Invicta - thiết kế cổ điển.,,,,automatic,60.0,0.0
207,Longines Master 526 X,Longines,electronic,7123578,7,Mẫu Longines Master 526 X của Longines - thiết kế hiện đại.,5.0,step_counter;sleep_tracking;heart_rate;waterproof,none,,,
208,Fossil Voyager 75 Edition,Fossil,electronic,6643612,89,Mẫu Fossil Voyager 75 Edition của Fossil - thiết kế hiện đại.,1.0,heart_rate;notifications;waterproof;music_control;nfc,gps,,,
209,Tissot Heritage 384 X,Tissot,mechanical,7003788,48,Mẫu Tissot Heritage 384 X của Tissot - thiết kế cổ điển.,,,,manual,36.0,0.0
210,Skagen Master 670 Lite,Skagen,electronic,2220181,68,Mẫu Skagen Master 670 Lite của Skagen - thiết kế hiện đại.,4.0,nfc;sleep_tracking;gps;heart_rate;step_counter,none,,,
211,Skagen Heritage 545 X,Skagen,electronic,12438726,31,Mẫu Skagen Heritage 545 X của Skagen - thiết kế hiện đại.,4.0,nfc;notifications;gps,bluetooth,,,
212,Patek Philippe Voyager 785 Edition,Patek Philippe,mechanical,3989661,8,Mẫu Patek Philippe Voyager 785 Edition của Patek Philippe - thiết kế cổ điển.,,,,automatic,60.0,1.0
213,Casio Elite 759 Edition,Casio,mechanical,6332848,29,Mẫu Casio Elite 759 Edition của Casio - thiết kế cổ điển.,,,,automatic,80.0,1.0
214,Omega Elite 836 One,Omega,mechanical,5124104,76,Mẫu Omega Elite 836 One của Omega - thiết kế cổ điển.,,,,manual,40.0,0.0
215,Invicta Elite 424 Pro,Invicta,electronic,4489732,71,Mẫu Invicta Elite 424 Pro của Invicta - thiết kế hiện đại.,5.0,music_control;step_counter,gps,,,
216,Swatch Heritage 805 Z,Swatch,mechanical,5121650,53,Mẫu Swatch Heritage 805 Z của Swatch - thiết kế cổ điển.,,,,manual,40.0,0.0
217,Skagen Apex 247 Line,Skagen,mechanical,4860678,90,Mẫu Skagen Apex 247 Line của Skagen - thiết kế cổ điển.,,,,automatic,80.0,0.0
218,Skagen Heritage 992 X,Skagen,electronic,8580658,17,Mẫu Skagen Heritage 992 X của Skagen - thiết kế hiện đại.,4.0,step_counter;gps,none,,,
219,Longines Urban 95 Z,Longines,electronic,11006478,24,Mẫu Longines Urban 95 Z của Longines - thiết kế hiện đại.,1.0,music_control;sleep_tracking;step_counter,bluetooth,,,
220,Fossil Voyager 742 Z,Fossil,electronic,3646740,26,Mẫu Fossil Voyager 742 Z của Fossil - thiết kế hiện đại.,10.0,step_counter;heart_rate;gps,wifi,,,
221,Orient Apex 937 Line,Orient,electronic,10586581,90,Mẫu Orient Apex 937 Line của Orient - thiết kế hiện đại.,2.0,waterproof;step_counter;nfc;sleep_tracking,gps,,,
222,Swatch Prime 268 Lite,Swatch,electronic,7935840,63,Mẫu Swatch Prime 268 Lite của Swatch - thiết kế hiện đại.,4.0,notifications,none,,,
223,Swatch Urban 424 Edition,Swatch,electronic,8656609,28,Mẫu Swatch Urban 424 Edition của Swatch - thiết kế hiện đại.,7.0,heart_rate;nfc,gps,,,
224,Fossil Urban 236 X,Fossil,mechanical,8761948,31,Mẫu Fossil Urban 236 X của Fossil - thiết kế cổ điển.,,,,manual,60.0,0.0
225,Tag Heuer Prime 782 S,Tag Heuer,electronic,14514370,82,Mẫu Tag Heuer Prime 782 S của Tag Heuer - thiết kế hiện đại.,7.0,notifications;gps;sleep_tracking;nfc,wifi,,,
226,Skagen Apex 189 Z,Skagen,mechanical,14859691,7,Mẫu Skagen Apex 189 Z của Skagen - thiết kế cổ điển.,,,,automatic,80.0,1.0
227,Casio Classic 423 Model,Casio,electronic,12716898,29,Mẫu Casio Classic 423 Model của Casio - thiết kế hiện đại.,1.0,heart_rate;gps,gps,,,
228,Citizen Eco-Drive Voyager 935 S,Citizen Eco-Drive,mechanical,10059623,2,Mẫu Citizen Eco-Drive Voyager 935 S của Citizen Eco-Drive - thiết kế cổ điển.,,,,automatic,60.0,0.0
229,Seiko Pilot 740 Pro,Seiko,mechanical,8268202,36,Mẫu Seiko Pilot 740 Pro của Seiko - thiết kế cổ điển.,,,,automatic,60.0,0.0
230,Hamilton Sport 941 Series,Hamilton,electronic,8103588,30,Mẫu Hamilton Sport 941 Series của Hamilton - thiết kế hiện đại.,2.0,step_counter;music_control;nfc;sleep_tracking;waterproof,bluetooth,,,
231,Hublot Apex 579 Line,Hublot,mechanical,14858379,28,Mẫu Hublot Apex 579 Line của Hublot - thiết kế cổ điển.,,,,manual,72.0,1.0
232,Casio Sport 416 X,Casio,electronic,5968959,60,Mẫu Casio Sport 416 X của Casio - thiết kế hiện đại.,1.0,nfc,bluetooth,,,
233,Patek Philippe Urban 580 Series,Patek Philippe,electronic,13474473,5,Mẫu Patek Philippe Urban 580 Series của Patek Philippe - thiết kế hiện đại.,2.0,notifications;nfc,bluetooth,,,
234,Rolex Pilot 578 Edition,Rolex,electronic,3100640,40,Mẫu Rolex Pilot 578 Edition của Rolex - thiết kế hiện đại.,1.0,nfc;music_control,gps,,,
235,Omega Master 578 Line,Omega,electronic,8717091,49,Mẫu Omega Master 578 Line của Omega - thiết kế hiện đại.,7.0,sleep_tracking;waterproof;notifications;gps;heart_rate,none,,,
236,Patek Philippe Elite 859 Series,Patek Philippe,mechanical,5438595,98,Mẫu Patek Philippe Elite 859 Series của Patek Philippe - thiết kế cổ điển.,,,,manual,80.0,0.0
237,Rolex Apex 503 Line,Rolex,mechanical,5659262,48,Mẫu Rolex Apex 503 Line của Rolex - thiết kế cổ điển.,,,,manual,40.0,0.0
238,Hublot Sport 791 One,Hublot,electronic,4783002,31,Mẫu Hublot Sport 791 One của Hublot - thiết kế hiện đại.,7.0,gps,none,,,
239,Tissot Heritage 325 Lite,Tissot,mechanical,2044988,0,Mẫu Tissot Heritage 325 Lite của Tissot - thiết kế cổ điển.,,,,manual,48.0,0.0
240,Orient Master 90 Model,Orient,electronic,6749203,71,Mẫu Orient Master 90 Model của Orient - thiết kế hiện đại.,5.0,music_control;heart_rate;notifications;sleep_tracking;nfc,bluetooth,,,
241,Tag Heuer Heritage 13 Pro,Tag Heuer,electronic,6500246,99,Mẫu Tag Heuer Heritage 13 Pro của Tag Heuer - thiết kế hiện đại.,1.0,waterproof;step_counter;music_control;gps;notifications,wifi,,,
242,Omega Prime 505 Model,Omega,mechanical,1417374,55,Mẫu Omega Prime 505 Model của Omega - thiết kế cổ điển.,,,,manual,48.0,0.0
243,Citizen Urban 258 Line,Citizen,electronic,10953042,63,Mẫu Citizen Urban 258 Line của Citizen - thiết kế hiện đại.,5.0,waterproof;notifications;heart_rate;gps;nfc,bluetooth,,,
244,Tag Heuer Voyager 390 Lite,Tag Heuer,electronic,6883232,55,Mẫu Tag Heuer Voyager 390 Lite của Tag Heuer - thiết kế hiện đại.,10.0,nfc;notifications;music_control;step_counter;gps,gps,,,
245,Hublot Urban 299 S,Hublot,mechanical,14532565,100,Mẫu Hublot Urban 299 S của Hublot - thiết kế cổ điển.,,,,automatic,42.0,0.0
246,Hublot Urban 117 One,Hublot,mechanical,3397101,69,Mẫu Hublot Urban 117 One của Hublot - thiết kế cổ điển.,,,,automatic,72.0,0.0
247,Longines Elite 449 Pro,Longines,mechanical,12553586,8,Mẫu Longines Elite 449 Pro của Longines - thiết kế cổ điển.,,,,manual,72.0,0.0
248,Omega Elite 259 Model,Omega,mechanical,10870928,48,Mẫu Omega Elite 259 Model của Omega - thiết kế cổ điển.,,,,automatic,48.0,0.0
249,Hublot Pilot 519 X,Hublot,electronic,8382855,46,Mẫu Hublot Pilot 519 X của Hublot - thiết kế hiện đại.,7.0,gps;heart_rate;notifications;nfc;sleep_tracking,bluetooth,,,
250,Hublot Urban 989 X,Hublot,electronic,2036196,12,Mẫu Hublot Urban 989 X của Hublot - thiết kế hiện đại.,3.0,waterproof;notifications,none,,,
251,Movado Pilot 155 Lite,Movado,mechanical,14966690,61,Mẫu Movado Pilot 155 Lite của Movado - thiết kế cổ điển.,,,,automatic,42.0,0.0
252,Citizen Sport 852 Model,Citizen,electronic,5550765,43,Mẫu Citizen Sport 852 Model của Citizen - thiết kế hiện đại.,4.0,notifications;nfc,gps,,,
253,Longines Urban 69 Pro,Longines,mechanical,1147904,90,Mẫu Longines Urban 69 Pro của Longines - thiết kế cổ điển.,,,,automatic,36.0,0.0
254,Hamilton Elite 529 Model,Hamilton,electronic,8502699,42,Mẫu Hamilton Elite 529 Model của Hamilton - thiết kế hiện đại.,5.0,notifications;gps;waterproof;music_control,wifi,,,
255,Patek Philippe Heritage 30 One,Patek Philippe,electronic,13304912,57,Mẫu Patek Philippe Heritage 30 One của Patek Philippe - thiết kế hiện đại.,5.0,music_control;heart_rate;sleep_tracking;gps,wifi,,,
256,Citizen Voyager 105 Z,Citizen,mechanical,3210918,41,Mẫu Citizen Voyager 105 Z của Citizen - thiết kế cổ điển.,,,,automatic,48.0,1.0
257,Bulova Pilot 990 Lite,Bulova,mechanical,9156077,78,Mẫu Bulova Pilot 990 Lite của Bulova - thiết kế cổ điển.,,,,manual,60.0,1.0
258,Longines Voyager 177 Pro,Longines,mechanical,13820897,75,Mẫu Longines Voyager 177 Pro của Longines - thiết kế cổ điển.,,,,automatic,72.0,1.0
259,Timex Prime 120 Model,Timex,mechanical,5912938,18,Mẫu Timex Prime 120 Model của Timex - thiết kế cổ điển.,,,,manual,48.0,0.0
260,Hublot Heritage 191 S,Hublot,mechanical,9714774,88,Mẫu Hublot Heritage 191 S của Hublot - thiết kế cổ điển.,,,,automatic,60.0,1.0
261,Tissot Master 323 S,Tissot,electronic,9481445,45,Mẫu Tissot Master 323 S của Tissot - thiết kế hiện đại.,1.0,nfc;gps;waterproof;step_counter,gps,,,
262,Bulova Heritage 728 S,Bulova,mechanical,7586143,10,Mẫu Bulova Heritage 728 S của Bulova - thiết kế cổ điển.,,,,automatic,80.0,1.0
263,Rolex Elite 551 Pro,Rolex,mechanical,2939030,58,Mẫu Rolex Elite 551 Pro của Rolex - thiết kế cổ điển.,,,,manual,60.0,0.0
264,Orient Prime 794 Z,Orient,mechanical,12437601,46,Mẫu Orient Prime 794 Z của Orient - thiết kế cổ điển.,,,,automatic,80.0,0.0
265,Fossil Heritage 105 Line,Fossil,mechanical,4816780,4,Mẫu Fossil Heritage 105 Line của Fossil - thiết kế cổ điển.,,,,manual,42.0,0.0
266,Citizen Apex 887 Series,Citizen,electronic,11746659,30,Mẫu Citizen Apex 887 Series của Citizen - thiết kế hiện đại.,2.0,sleep_tracking;music_control;notifications;step_counter;waterproof,wifi,,,
267,Fossil Elite 825 Edition,Fossil,electronic,8766078,68,Mẫu Fossil Elite 825 Edition của Fossil - thiết kế hiện đại.,3.0,nfc;notifications;sleep_tracking;music_control;step_counter,none,,,
268,Invicta Sport 139 X,Invicta,electronic,13822146,35,Mẫu Invicta Sport 139 X của Invicta - thiết kế hiện đại.,10.0,nfc;gps,wifi,,,
269,Timex Heritage 502 Model,Timex,electronic,8872670,34,Mẫu Timex Heritage 502 Model của Timex - thiết kế hiện đại.,7.0,music_control;waterproof;heart_rate;sleep_tracking,gps,,,
270,Rolex Urban 466 S,Rolex,electronic,5245695,0,Mẫu Rolex Urban 466 S của Rolex - thiết kế hiện đại.,10.0,notifications,none,,,
271,Skagen Heritage 224 X,Skagen,electronic,12460291,63,Mẫu Skagen Heritage 224 X của Skagen - thiết kế hiện đại.,3.0,step_counter;nfc;notifications,wifi,,,
272,Bulova Urban 916 Edition,Bulova,electronic,1166172,80,Mẫu Bulova Urban 916 Edition của Bulova - thiết kế hiện đại.,10.0,heart_rate;notifications;gps;waterproof,gps,,,
273,Patek Philippe Elite 706 Model,Patek Philippe,mechanical,13291143,38,Mẫu Patek Philippe Elite 706 Model của Patek Philippe - thiết kế cổ điển.,,,,automatic,80.0,0.0
274,Swatch Prime 85 Lite,Swatch,mechanical,10135378,83,Mẫu Swatch Prime 85 Lite của Swatch - thiết kế cổ điển.,,,,automatic,36.0,0.0
275,Timex Heritage 672 Series,Timex,electronic,10703622,0,Mẫu Timex Heritage 672 Series của Timex - thiết kế hiện đại.,2.0,gps;notifications;step_counter;music_control,gps,,,
276,Tag Heuer Sport 881 X,Tag Heuer,mechanical,10563450,61,Mẫu Tag Heuer Sport 881 X của Tag Heuer - thiết kế cổ điển.,,,,automatic,40.0,0.0
277,Orient Sport 321 Lite,Orient,mechanical,13274340,17,Mẫu Orient Sport 321 Lite của Orient - thiết kế cổ điển.,,,,manual,80.0,1.0
278,Tissot Sport 544 One,Tissot,electronic,622884,83,Mẫu Tissot Sport 544 One của Tissot - thiết kế hiện đại.,2.0,sleep_tracking;notifications;gps;music_control,gps,,,
279,Longines Elite 89 Series,Longines,electronic,2530191,15,Mẫu Longines Elite 89 Series của Longines - thiết kế hiện đại.,5.0,sleep_tracking;waterproof;nfc;gps,wifi,,,
280,Citizen Elite 567 One,Citizen,mechanical,9200114,77,Mẫu Citizen Elite 567 One của Citizen - thiết kế cổ điển.,,,,manual,80.0,0.0
281,Omega Elite 531 One,Omega,mechanical,7888077,95,Mẫu Omega Elite 531 One của Omega - thiết kế cổ điển.,,,,manual,42.0,0.0
282,Timex Apex 396 Series,Timex,mechanical,3995685,81,Mẫu Timex Apex 396 Series của Timex - thiết kế cổ điển.,,,,automatic,60.0,1.0
283,Tag Heuer Master 397 One,Tag Heuer,electronic,6602521,69,Mẫu Tag Heuer Master 397 One của Tag Heuer - thiết kế hiện đại.,7.0,notifications;music_control,bluetooth,,,
284,Citizen Classic 269 Line,Citizen,mechanical,1077490,7,Mẫu Citizen Classic 269 Line của Citizen - thiết kế cổ điển.,,,,manual,60.0,0.0
285,Invicta Heritage 434 X,Invicta,electronic,1695203,68,Mẫu Invicta Heritage 434 X của Invicta - thiết kế hiện đại.,5.0,nfc;notifications;heart_rate;music_control;sleep_tracking,wifi,,,
286,Tissot Pilot 335 X,Tissot,electronic,9003339,97,Mẫu Tissot Pilot 335 X của Tissot - thiết kế hiện đại.,10.0,step_counter,gps,,,
287,Timex Classic 251 Series,Timex,electronic,13907102,14,Mẫu Timex Classic 251 Series của Timex - thiết kế hiện đại.,4.0,heart_rate;nfc;sleep_tracking;gps;notifications,bluetooth,,,
288,Seiko Master 509 Lite,Seiko,electronic,8083578,100,Mẫu Seiko Master 509 Lite của Seiko - thiết kế hiện đại.,10.0,nfc;notifications;gps,none,,,
289,Orient Classic 344 X,Orient,electronic,4443719,8,Mẫu Orient Classic 344 X của Orient - thiết kế hiện đại.,3.0,gps;waterproof;music_control;step_counter;nfc,bluetooth,,,
290,Movado Master 377 Model,Movado,electronic,4199183,13,Mẫu Movado Master 377 Model của Movado - thiết kế hiện đại.,5.0,waterproof,bluetooth,,,
291,Seiko Elite 48 S,Seiko,mechanical,5777659,19,Mẫu Seiko Elite 48 S của Seiko - thiết kế cổ điển.,,,,automatic,80.0,1.0
292,Patek Philippe Elite 330 Line,Patek Philippe,electronic,6535721,92,Mẫu Patek Philippe Elite 330 Line của Patek Philippe - thiết kế hiện đại.,3.0,gps;step_counter;nfc,bluetooth,,,
293,Casio Master 229 Z,Casio,electronic,14730501,51,Mẫu Casio Master 229 Z của Casio - thiết kế hiện đại.,1.0,step_counter;music_control;nfc;sleep_tracking,bluetooth,,,
294,Seiko Urban 206 Pro,Seiko,electronic,8675198,38,Mẫu Seiko Urban 206 Pro của Seiko - thiết kế hiện đại.,7.0,waterproof;notifications;nfc;step_counter;music_control,wifi,,,
295,Skagen Elite 155 Edition,Skagen,electronic,14019764,3,Mẫu Skagen Elite 155 Edition của Skagen - thiết kế hiện đại.,2.0,sleep_tracking;notifications;music_control;heart_rate;nfc,bluetooth,,,
296,Hublot Prime 107 Line,Hublot,electronic,8182310,30,Mẫu Hublot Prime 107 Line của Hublot - thiết kế hiện đại.,4.0,heart_rate;gps;sleep_tracking;nfc,bluetooth,,,
297,Timex Pilot 423 Lite,Timex,mechanical,7147641,95,Mẫu Timex Pilot 423 Lite của Timex - thiết kế cổ điển.,,,,automatic,60.0,1.0
298,Hublot Sport 607 One,Hublot,electronic,1403102,84,Mẫu Hublot Sport 607 One của Hublot - thiết kế hiện đại.,2.0,step_counter;nfc,none,,,
299,Hublot Urban 326 S,Hublot,electronic,4443360,9,Mẫu Hublot Urban 326 S của Hublot - thiết kế hiện đại.,2.0,gps;notifications,bluetooth,,,
300,Longines Urban 417 Series,Longines,mechanical,8270906,98,Mẫu Longines Urban 417 Series của Longines - thiết kế cổ điển.,,,,automatic,48.0,0.0
301,Orient Sport 162 Pro,Orient,electronic,12482607,89,Mẫu Orient Sport 162 Pro của Orient - thiết kế hiện đại.,5.0,waterproof,none,,,
302,Timex Urban 406 Z,Timex,mechanical,1209784,38,Mẫu Timex Urban 406 Z của Timex - thiết kế cổ điển.,,,,manual,80.0,1.0
303,Hublot Apex 570 Z,Hublot,mechanical,4122863,59,Mẫu Hublot Apex 570 Z của Hublot - thiết kế cổ điển.,,,,automatic,80.0,1.0
304,Casio Elite 134 Line,Casio,mechanical,12443265,47,Mẫu Casio Elite 134 Line của Casio - thiết kế cổ điển.,,,,automatic,60.0,0.0
305,Citizen Classic 67 Line,Citizen,mechanical,13586193,56,Mẫu Citizen Classic 67 Line của Citizen - thiết kế cổ điển.,,,,automatic,36.0,0.0
306,Longines Classic 173 One,Longines,mechanical,6780767,92,Mẫu Longines Classic 173 One của Longines - thiết kế cổ điển.,,,,manual,48.0,1.0
307,Patek Philippe Master 363 Line,Patek Philippe,mechanical,13670411,35,Mẫu Patek Philippe Master 363 Line của Patek Philippe - thiết kế cổ điển.,,,,manual,48.0,1.0
308,Citizen Eco-Drive Voyager 252 Pro,Citizen Eco-Drive,mechanical,7733928,70,Mẫu Citizen Eco-Drive Voyager 252 Pro của Citizen Eco-Drive - thiết kế cổ điển.,,,,manual,36.0,1.0
309,Tissot Heritage 205 Z,Tissot,mechanical,4112642,69,Mẫu Tissot Heritage 205 Z của Tissot - thiết kế cổ điển.,,,,automatic,48.0,0.0
310,Skagen Apex 353 One,Skagen,mechanical,7784702,49,Mẫu Skagen Apex 353 One của Skagen - thiết kế cổ điển.,,,,manual,40.0,1.0
311,Timex Classic 918 Pro,Timex,mechanical,1349573,60,Mẫu Timex Classic 918 Pro của Timex - thiết kế cổ điển.,,,,manual,80.0,0.0
312,Hamilton Sport 254 Line,Hamilton,electronic,4364642,94,Mẫu Hamilton Sport 254 Line của Hamilton - thiết kế hiện đại.,1.0,music_control;nfc,wifi,,,
313,Movado Urban 826 Lite,Movado,mechanical,13752710,3,Mẫu Movado Urban 826 Lite của Movado - thiết kế cổ điển.,,,,manual,60.0,0.0
314,Fossil Apex 556 Pro,Fossil,mechanical,3045573,4,Mẫu Fossil Apex 556 Pro của Fossil - thiết kế cổ điển.,,,,automatic,36.0,1.0
315,Seiko Pilot 490 Edition,Seiko,electronic,5310143,78,Mẫu Seiko Pilot 490 Edition của Seiko - thiết kế hiện đại.,2.0,sleep_tracking;notifications,wifi,,,
316,Tag Heuer Classic 23 Model,Tag Heuer,electronic,9005833,18,Mẫu Tag Heuer Classic 23 Model của Tag Heuer - thiết kế hiện đại.,10.0,sleep_tracking,bluetooth,,,
